S.N.,Partner Name,Partner Name ID,Financial Literacy,Partnership,Outreach Expansion,MFS,ProductProcess
1,Agricultural Development Bank Limited,1,,Commercial Bank,Commercial Bank,,
2,Bank of Kathmandu Limited,2,,Commercial Bank,Commercial Bank,,Commercial Bank
3,Chhimek Laghubitta,3,Microfinance/Cooperative,Microfinance,Microfinance,,
4,Citizens Bank International Limited,4,Commercial Banks and Mobile Network Operators,Commercial Bank,Commercial Bank,,
5,D' Rose Technologies Pvt. Ltd.,5,,Digital Financial Service Providers,Digital Financial Service Providers,,
6,eSewa Fonepay Pvt. Ltd.,6,,Digital Financial Service Providers,Digital Financial Service Providers,Digital Financial Service Providers,
7,Everest Bank Limited,7,Commercial Banks and Mobile Network Operators,Commercial Bank,Commercial Bank,,
8,F1Soft International Pvt. Ltd.,8,,Digital Financial Service Providers,Digital Financial Service Providers,,Mobile Network Operator
9,Global IME Bank Limited,9,Commercial Banks and Mobile Network Operators,Commercial Bank,Commercial Bank,,Commercial Bank
10,Himalayan Bank Limited,10,,Commercial Bank,Commercial Bank,,
11,IME Digital Solution Limited,11,Commercial Banks and Mobile Network Operators,Digital Financial Service Providers,Digital Financial Service Providers,Digital Financial Service Providers,Mobile Network Operator
12,Janata Bank Limited,12,Commercial Banks and Mobile Network Operators,Commercial Bank,Commercial Bank,,Commercial Bank
13,Janautthan Samudayik Laghubitta,13,Microfinance/Cooperative,Microfinance,,,Microfinance
14,Kanchan Development Bank Limited,14,,Commercial Bank,Commercial Bank,,Commercial Bank
15,Kisan Cooperative,15,Microfinance/Cooperative,Cooperative,Cooperative,,Cooperative
16,Kisan Microfinance,16,Microfinance/Cooperative,Microfinance,Microfinance,,
17,Laxmi Bank Limited,17,Commercial Banks and Mobile Network Operators,Commercial Bank,Commercial Bank,,Commercial Bank
18,Laxmi Laghubitta Bittiya Sanstha Ltd.,18,,Microfinance,,,
19,Machhapuchhre Bank Ltd,19,Commercial Banks and Mobile Network Operators,Commercial Bank,Commercial Bank,,Commercial Bank
20,Mahila Sahayatra Laghubitta,20,Microfinance/Cooperative,Microfinance,Microfinance,,Microfinance
21,Mega Bank Ltd,21,Commercial Banks and Mobile Network Operators,Commercial Bank,Commercial Bank,,Commercial Bank
22,Nabil Bank Ltd.,22,,Commercial Bank,Commercial Bank,,Commercial Bank
23,NEFSCUN (Nepal Federation of Savings and Credit Cooperative Unions Ltd.),23,,Cooperative,Apex Organization,,
24,Nepal Bank Limited,24,,Commercial Bank,Commercial Bank,,
25,Nepal Clearing House Ltd.,25,,Digital Financial Service Operator,Digital Financial Service Operator,Digital Financial Service Operator,Mobile Network Operator
26,Nepal Insurer's Association,26,,Insurance Provider,,,
27,Nepal Investment Bank Limited,27,,Commercial Bank,Commercial Bank,,Commercial Bank
28,Nepal Microfinance Bankers' Association,28,,Microfinance,,,
29,Mahila Samudayik Laghubitta,29,Microfinance/Cooperative,Microfinance,Microfinance,,Microfinance
30,Nerude Laghubitta,30,Microfinance/Cooperative,Microfinance,,,Microfinance
31,NIC Asia Bank Limited,31,,Commercial Bank,Commercial Bank,,
32,Nirdhan Utthan Laghubitta,32,Microfinance/Cooperative,Microfinance,Microfinance,,
33,NMB Bank Ltd,33,,Commercial Bank,Commercial Bank,,Commercial Bank
34,NMB Laghubitta,34,Microfinance/Cooperative,Microfinance,,,Commercial Bank
35,Prabhu Bank Limited,35,,Commercial Bank,Commercial Bank,,
36,Rastriya Banijya Bank Limited,36,,Commercial Bank,Commercial Bank,,
37,RMDC Laghubitta Bittiya Sanstha Limited,37,Microfinance/Cooperative,Microfinance,Apex Organization,,
38,Sahara Nepal Cooperative,38,Microfinance/Cooperative,Cooperative,Cooperative,,Cooperative
39,Sana Kisan Bikas Laghubitta,39,,Microfinance,Microfinance,,
40,Sanima Bank Limited,40,,Commercial Bank,Commercial Bank,,Commercial Bank
41,Shikhar Insurance Company Limited,41,,Insurance Provider,Insurance Provider,,Insurance
42,Siddhartha Bank Ltd,42,,Commercial Bank,Commercial Bank,,Commercial Bank
43,Stonestep TFD Private Limited,43,,Digital Financial Service Operator,Digital Financial Service Operator,Digital Financial Service Operator,Microfinance
44,Unique Nepal Laghubitta,44,Microfinance/Cooperative,Microfinance,Microfinance,,
45,Vijaya Laghubitta Bittiya Sanstha Ltd,45,Microfinance/Cooperative,Microfinance,Microfinance,,
46,Mahila Samudayik Laghubitta,46,Microfinance/Cooperative,Microfinance,Microfinance,,Microfinance